lvl,val,l_0,l_1,l_2,l_3,l_4,l_5
0,35216.2050661359,col2195,"","","","",
0,1661.22604908478,col2200,"","","","",
0,1851.029392567,col2201,"","","","",
0,3499.62558027717,col2202,"","","","",
0,45.6189793946491,col2204,"","","","",
0,97.4383446373217,col11815,"","","","",
0,413.457842072229,col23125,"","","","",
0,46.4573179867071,col23132,"","","","",
0,120.640510658745,rest,"","","","",
1,92.9496301150254,col2195,col34764,"","","",
1,121.035514641531,col2195,col34765,"","","",
1,28733.8235873238,col2195,col34777,"","","",
1,479.4817069689,col2195,col34790,"","","",
1,622.551789883603,col2195,col34805,"","","",
1,381.368665897359,col2195,col34827,"","","",
1,224.104373278093,col2195,col34833,"","","",
1,67.3470889317983,col2195,col34836,"","","",
1,165.473742041314,col2195,col34837,"","","",
1,44.4082256589384,col2195,col34842,"","","",
1,271.287738126841,col2195,col34847,"","","",
1,64.0553911641312,col2195,col34851,"","","",
1,71.4350767059517,col2195,col34854,"","","",
1,120.939368030355,col2195,col34865,"","","",
1,51.693490487605,col2195,col34872,"","","",
1,70.9526542171588,col2195,col34888,"","","",
1,1475.39028136829,col2195,col34899,"","","",
1,70.7247941331419,col2195,col34910,"","","",
1,70.6827465006803,col2195,col34921,"","","",
1,78.1911501208396,col2195,col34929,"","","",
1,216.910641885374,col2195,col34932,"","","",
1,223.381673205747,col2195,col34934,"","","",
1,564.88621892509,col2195,col34938,"","","",
1,304.024966137228,col2195,col34952,"","","",
1,629.104550387085,col2195,rest,"","","",
2,92.9496301150254,col34764,col2195,final,"","",
2,121.035514641531,col34765,col2195,final,"","",
2,28733.8235873238,col34777,col2195,final,"","",
2,479.4817069689,col34790,col2195,final,"","",
2,622.551789883603,col34805,col2195,final,"","",
2,381.368665897359,col34827,col2195,final,"","",
2,224.104373278093,col34833,col2195,final,"","",
2,67.3470889317983,col34836,col2195,final,"","",
2,165.473742041314,col34837,col2195,final,"","",
2,44.4082256589384,col34842,col2195,final,"","",
2,271.287738126841,col34847,col2195,final,"","",
2,64.0553911641312,col34851,col2195,final,"","",
2,71.4350767059517,col34854,col2195,final,"","",
2,120.939368030355,col34865,col2195,final,"","",
2,51.693490487605,col34872,col2195,final,"","",
2,70.9526542171588,col34888,col2195,final,"","",
2,1475.39028136829,col34899,col2195,final,"","",
2,70.7247941331419,col34910,col2195,final,"","",
2,70.6827465006803,col34921,col2195,final,"","",
2,78.1911501208396,col34929,col2195,final,"","",
2,216.910641885374,col34932,col2195,final,"","",
2,223.381673205747,col34934,col2195,final,"","",
2,564.88621892509,col34938,col2195,final,"","",
2,304.024966137228,col34952,col2195,final,"","",
1,160.079300472507,col2200,col31617,"","","",
1,118.874792305189,col2200,col31652,"","","",
1,511.485498115203,col2200,col34777,"","","",
1,761.407923377177,col2200,col34952,"","","",
1,109.378534814702,col2200,rest,"","","",
2,113.518638106146,col31617,col2200,col34777,"","",
2,46.5606623663606,col31617,col2200,rest,"","",
3,113.518638106146,col34777,col31617,col2200,final,"",
2,84.708213731093,col31652,col2200,col34777,"","",
2,34.1665785740961,col31652,col2200,rest,"","",
3,84.708213731093,col34777,col31652,col2200,final,"",
2,511.485498115203,col34777,col2200,final,"","",
2,761.407923377177,col34952,col2200,final,"","",
1,516.841597990013,col2201,col31617,"","","",
1,109.255440392765,col2201,col31650,"","","",
1,383.806259987355,col2201,col31652,"","","",
1,782.749695635928,col2201,col34777,"","","",
1,58.3763985609376,col2201,rest,"","","",
2,366.513060384763,col31617,col2201,col34777,"","",
2,150.32853760525,col31617,col2201,rest,"","",
3,366.513060384763,col34777,col31617,col2201,final,"",
2,55.2523622173669,col31650,col2201,col34777,"","",
2,54.0030781753975,col31650,col2201,rest,"","",
3,55.2523622173669,col34777,col31650,col2201,final,"",
2,273.494002150371,col31652,col2201,col34777,"","",
2,110.312257836984,col31652,col2201,rest,"","",
3,273.494002150371,col34777,col31652,col2201,final,"",
2,782.749695635928,col34777,col2201,final,"","",
1,3393.97643119373,col2202,col31617,"","","",
1,105.649149083446,col2202,rest,"","","",
2,82.6108542037444,col31617,col2202,col31017,"","",
2,198.149025498955,col31617,col2202,col31617,"","",
2,113.55714100944,col31617,col2202,col33850,"","",
2,2406.80450936654,col31617,col2202,col34777,"","",
2,64.7636750099699,col31617,col2202,col34791,"","",
2,56.1904123543064,col31617,col2202,col34837,"","",
2,70.7280365314831,col31617,col2202,col34934,"","",
2,124.186810617861,col31617,col2202,col34954,"","",
2,276.985966601432,col31617,col2202,rest,"","",
3,82.6108542037443,col31017,col31617,col2202,rest,"",
3,140.5154036175,col31617,col31617,col2202,col34777,"",
3,57.6336218814546,col31617,col31617,col2202,rest,"",
4,140.5154036175,col34777,col31617,col31617,col2202,final,
3,113.55714100944,col33850,col31617,col2202,rest,"",
3,2406.80450936654,col34777,col31617,col2202,final,"",
3,64.7636750099699,col34791,col31617,col2202,final,"",
3,56.1904123543064,col34837,col31617,col2202,final,"",
3,70.7280365314831,col34934,col31617,col2202,final,"",
3,124.186810617861,col34954,col31617,col2202,final,"",
1,45.6189793946491,col2204,rest,"","","",
1,83.4610726521721,col11815,col34851,"","","",
1,13.9772719851496,col11815,rest,"","","",
2,83.4610726521721,col34851,col11815,final,"","",
1,413.385047043481,col23125,col34938,"","","",
1,0.0727950287474136,col23125,rest,"","","",
2,413.385047043481,col34938,col23125,final,"","",
1,46.4573179867071,col23132,rest,"","","",
